Name,Ticker,Sector,Category
Parex Resources Inc.,PXT-CA,Energy,S&P International Small Cap
Heiwa Real Estate REIT Inc.,8966-JP,Real Estate,S&P International Small Cap
Karo Pharma AB,KARO-SE,Health Care,S&P International Small Cap
Kyoritsu Maintenance Co. Ltd.,9616-JP,Consumer Discretionary,S&P International Small Cap
INFRONEER Holdings Inc.,5076-JP,Industrials,S&P International Small Cap
Dawonsys Co. Ltd,068240-KR,Industrials,S&P International Small Cap
Hamborner REIT AG,HABA-DE,Real Estate,S&P International Small Cap
Birchcliff Energy Ltd.,BIR-CA,Energy,S&P International Small Cap
AudioCodes Ltd.,AUDC,Information Technology,S&P International Small Cap
Hibernia REIT PLC,HBRN-IE,Real Estate,S&P International Small Cap
Oxford Instruments plc,OXIG-GB,Information Technology,S&P International Small Cap
Sosei Group Corporation,4565-JP,Health Care,S&P International Small Cap
Oil Refineries Ltd.,ORL-IL,Energy,S&P International Small Cap
KMW Inc,032500-KR,Information Technology,S&P International Small Cap
DREAM Unlimited Corp. Class A,DRM-CA,Real Estate,S&P International Small Cap
Takeuchi Mfg.Co. Ltd.,6432-JP,Industrials,S&P International Small Cap
Daiho Corporation,1822-JP,Industrials,S&P International Small Cap
BML  Inc.,4694-JP,Health Care,S&P International Small Cap
Mixi Inc.,2121-JP,Communication Services,S&P International Small Cap
S&T AG,SANT-DE,Information Technology,S&P International Small Cap
Recticel SA,REC-BE,Materials,S&P International Small Cap
ENF Technology Co. Ltd,102710-KR,Materials,S&P International Small Cap
Kinepolis Group NV,KIN-BE,Communication Services,S&P International Small Cap
Nickel Mines Ltd.,NIC-AU,Materials,S&P International Small Cap
Uni-Select Inc.,UNS-CA,Consumer Discretionary,S&P International Small Cap
eGuarantee Inc.,8771-JP,Financials,S&P International Small Cap
REC Silicon ASA,RECSI-NO,Information Technology,S&P International Small Cap
TY Holdings Co. Ltd.,363280-KR,Industrials,S&P International Small Cap
Precision Drilling Corporation,PD-CA,Energy,S&P International Small Cap
Duskin Co. Ltd.,4665-JP,Industrials,S&P International Small Cap
Sumitomo Osaka Cement Co. Ltd.,5232-JP,Materials,S&P International Small Cap
Takashimaya Company Limited,8233-JP,Consumer Discretionary,S&P International Small Cap
Dustin Group AB,DUST-SE,Consumer Discretionary,S&P International Small Cap
Vital Healthcare Property Trust,VHP-NZ,Real Estate,S&P International Small Cap
H2O Retailing Corporation,8242-JP,Consumer Discretionary,S&P International Small Cap
Accell Group N.V.,ACCEL-NL,Consumer Discretionary,S&P International Small Cap
Hioki E.E.Corporation,6866-JP,Information Technology,S&P International Small Cap
MITIE Group PLC,MTO-GB,Industrials,S&P International Small Cap
Nufarm Limited,NUF-AU,Materials,S&P International Small Cap
Centamin plc,CEY-GB,Materials,S&P International Small Cap
BeNext-Yumeshin Group Co.,2154-JP,Industrials,S&P International Small Cap
Lifestyle Communities Ltd,LIC-AU,Real Estate,S&P International Small Cap
Sirius Real Estate Limited,SRE-GB,Real Estate,S&P International Small Cap
Transcontinental Inc. Class A,TCL.A-CA,Materials,S&P International Small Cap
Manulife US REIT,BTOU-SG,Real Estate,S&P International Small Cap
Tsubakimoto Chain Co.,6371-JP,Industrials,S&P International Small Cap
InterRent Real Estate Investment Trust,IIP.UT-CA,Real Estate,S&P International Small Cap
Musashi Seimitsu Industry Co. Ltd.,7220-JP,Consumer Discretionary,S&P International Small Cap
Can Do Co. Ltd.,2698-JP,Consumer Discretionary,S&P International Small Cap
Ero Copper Corp.,ERO-CA,Materials,S&P International Small Cap
Fortuna Silver Mines Inc.,FVI-CA,Materials,S&P International Small Cap
Trusco Nakayama Corporation,9830-JP,Industrials,S&P International Small Cap
Raffles Medical Group Ltd,BSL-SG,Health Care,S&P International Small Cap
ROUND ONE Corporation,4680-JP,Consumer Discretionary,S&P International Small Cap
PointsBet Holdings Ltd.,PBH-AU,Consumer Discretionary,S&P International Small Cap
Euronav NV,EURN-BE,Energy,S&P International Small Cap
Construcciones y Auxiliar de Ferrocarriles S.A.,CAF-ES,Industrials,S&P International Small Cap
Sundial Growers Inc.,SNDL,Health Care,S&P International Small Cap
Trisura Group Ltd.,TSU-CA,Financials,S&P International Small Cap
Australian Ethical Investment Ltd,AEF-AU,Financials,S&P International Small Cap
BWP Trust,BWP-AU,Real Estate,S&P International Small Cap
Heiwa Real Estate Co. Ltd.,8803-JP,Real Estate,S&P International Small Cap
Retelit S.p.A.,LIT-IT,Communication Services,S&P International Small Cap
Merus N.V.,MRUS,Health Care,S&P International Small Cap
Matas A/S,MATAS-DK,Consumer Discretionary,S&P International Small Cap
DEUTZ AG,DEZ-DE,Industrials,S&P International Small Cap
Abacus Property Group,ABP-AU,Real Estate,S&P International Small Cap
IP Group plc,IPO-GB,Financials,S&P International Small Cap
Vitec Software Group AB Class B,VIT.B-SE,Information Technology,S&P International Small Cap
First Pacific Co. Ltd.,142-HK,Consumer Staples,S&P International Small Cap
Nichi-Iko Pharmaceutical Co. Ltd.,4541-JP,Health Care,S&P International Small Cap
Okinawa Financial Group Inc.,7350-JP,Financials,S&P International Small Cap
Sprott Inc.,SII-CA,Financials,S&P International Small Cap
Tomy Company Ltd.,7867-JP,Consumer Discretionary,S&P International Small Cap
Coats Group plc,COA-GB,Consumer Discretionary,S&P International Small Cap
UMS Holdings Limited,558-SG,Information Technology,S&P International Small Cap
CECONOMY AG,CEC-DE,Consumer Discretionary,S&P International Small Cap
San-Ai Oil Co. Ltd.,8097-JP,Energy,S&P International Small Cap
Denison Mines Corp.,DML-CA,Energy,S&P International Small Cap
Cognyte Software Ltd.,CGNT,Information Technology,S&P International Small Cap
Pushpay Holdings Ltd,PPH-NZ,Information Technology,S&P International Small Cap
NSI N.V.,NSI-NL,Real Estate,S&P International Small Cap
Caverion Oyj,CAV1V-FI,Industrials,S&P International Small Cap
SFL Corporation Limited,SFL,Energy,S&P International Small Cap
Elementis plc,ELM-GB,Materials,S&P International Small Cap
Kaga Electronics Co. Ltd.,8154-JP,Information Technology,S&P International Small Cap
Dundee Precious Metals Inc.,DPM-CA,Materials,S&P International Small Cap
Jamieson Wellness Inc.,JWEL-CA,Consumer Staples,S&P International Small Cap
Capita plc,CPI-GB,Information Technology,S&P International Small Cap
LX Semicon Co. Ltd.,108320-KR,Information Technology,S&P International Small Cap
Sdiptech AB Class B,SDIP.B-SE,Industrials,S&P International Small Cap
ADBRI Limited,ABC-AU,Materials,S&P International Small Cap
Taiyo Holdings Co. Ltd.,4626-JP,Materials,S&P International Small Cap
Resurs Holding AB,RESURS-SE,Financials,S&P International Small Cap
Daiki Aluminium Industry Co. Ltd.,5702-JP,Materials,S&P International Small Cap
Volution Group plc,FAN-GB,Industrials,S&P International Small Cap
Kureha Corporation,4023-JP,Materials,S&P International Small Cap
Nichiha Corporation,7943-JP,Industrials,S&P International Small Cap
Per Aarsleff Holding A/S Class B,PAAL.B-DK,Industrials,S&P International Small Cap
Tokmanni Group Oyj,TOKMAN-FI,Consumer Discretionary,S&P International Small Cap
Pharma Mar SA,PHM-ES,Health Care,S&P International Small Cap
TORIDOLL Holdings Corporation,3397-JP,Consumer Discretionary,S&P International Small Cap
Aker Solutions ASA,AKSO-NO,Energy,S&P International Small Cap
Japan Elevator Service Holdings Co. Ltd.,6544-JP,Industrials,S&P International Small Cap
Genexine Inc.,095700-KR,Health Care,S&P International Small Cap
Huchems Fine Chemical Corporation,069260-KR,Materials,S&P International Small Cap
Cosmo Energy Holdings Co. Ltd.,5021-JP,Energy,S&P International Small Cap
Maxeon Solar Technologies Ltd.,MAXN,Information Technology,S&P International Small Cap
Sakata Seed Corporation,1377-JP,Consumer Staples,S&P International Small Cap
Equiniti Group Plc,EQN-GB,Information Technology,S&P International Small Cap
Hokuhoku Financial Group Inc.,8377-JP,Financials,S&P International Small Cap
Arcs Company Limited,9948-JP,Consumer Staples,S&P International Small Cap
NIPPON GAS Co. Ltd.,8174-JP,Utilities,S&P International Small Cap
Richelieu Hardware Ltd,RCH-CA,Industrials,S&P International Small Cap
Sinfonia Technology Co. Ltd.,6507-JP,Industrials,S&P International Small Cap
Road King Infrastructure Limited,1098-HK,Real Estate,S&P International Small Cap
BELLUS Health Inc.,BLU-CA,Health Care,S&P International Small Cap
Elior Group SA,ELIOR-FR,Consumer Discretionary,S&P International Small Cap
Golar LNG Limited,GLNG,Energy,S&P International Small Cap
Nippon Kayaku Co. Ltd.,4272-JP,Materials,S&P International Small Cap
EML Payments Ltd.,EML-AU,Information Technology,S&P International Small Cap
NICE Information Service Co. Ltd.,030190-KR,Industrials,S&P International Small Cap
Accent Group Ltd,AX1-AU,Consumer Discretionary,S&P International Small Cap
Charter Hall Social Infrastructure REIT,CQE-AU,Real Estate,S&P International Small Cap
SilverCrest Metals Inc.,SIL-CA,Materials,S&P International Small Cap
Toyobo Co. Ltd.,3101-JP,Materials,S&P International Small Cap
Poongsan Corporation,103140-KR,Materials,S&P International Small Cap
Graincorp Limited Class A,GNC-AU,Consumer Staples,S&P International Small Cap
Mochida Pharmaceutical Co. Ltd.,4534-JP,Health Care,S&P International Small Cap
SpareBank 1 Nord-Norge,NONG-NO,Financials,S&P International Small Cap
Kura Sushi Inc.,2695-JP,Consumer Discretionary,S&P International Small Cap
Sella Capital Real Estate Ltd.,SLARL-IL,Real Estate,S&P International Small Cap
Collins Foods Limited,CKF-AU,Consumer Discretionary,S&P International Small Cap
VSTECS Holdings Limited,856-HK,Information Technology,S&P International Small Cap
Nobina AB,NOBINA-SE,Industrials,S&P International Small Cap
UK Commercial Property Reit Limited,UKCM-GB,Real Estate,S&P International Small Cap
SHINSEGAE Information & Communication Inc.,035510-KR,Information Technology,S&P International Small Cap
Hyundai Marine & Fire Insurance Co. Ltd.,001450-KR,Financials,S&P International Small Cap
Suruga Bank Ltd.,8358-JP,Financials,S&P International Small Cap
Hong Kong Technology Venture Company Limited,1137-HK,Consumer Discretionary,S&P International Small Cap
WONIK HOLDINGS CO. LTD.,030530-KR,Information Technology,S&P International Small Cap
Diversified Energy Company PLC,DEC-GB,Energy,S&P International Small Cap
MTY Food Group Inc.,MTY-CA,Consumer Discretionary,S&P International Small Cap
Hyosung Chemical Corp.,298000-KR,Materials,S&P International Small Cap
Albioma,ABIO-FR,Utilities,S&P International Small Cap
New Gold Inc.,NGD-CA,Materials,S&P International Small Cap
Elmos Semiconductor SE,ELG-DE,Information Technology,S&P International Small Cap
Tsugami Corp.,6101-JP,Industrials,S&P International Small Cap
Hut 8 Mining Corp.,HUT-CA,Information Technology,S&P International Small Cap
Sakai Chemical Industry Co. Ltd.,4078-JP,Materials,S&P International Small Cap
Unieuro SpA,UNIR-IT,Consumer Discretionary,S&P International Small Cap
Megachips Corporation,6875-JP,Information Technology,S&P International Small Cap
K92 Mining Inc.,KNT-CA,Materials,S&P International Small Cap
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS-AT,Information Technology,S&P International Small Cap
FLEX LNG Ltd,FLNG-NO,Energy,S&P International Small Cap
Ascendas India Trust,CY6U-SG,Real Estate,S&P International Small Cap
Altius Minerals Corporation,ALS-CA,Materials,S&P International Small Cap
Sleep Country Canada Holdings Inc,ZZZ-CA,Consumer Discretionary,S&P International Small Cap
Wacom Co. Ltd.,6727-JP,Information Technology,S&P International Small Cap
Cineworld Group plc,CINE-GB,Communication Services,S&P International Small Cap
Gold Road Resources Ltd,GOR-AU,Materials,S&P International Small Cap
Magnachip Semiconductor Corp.,MX,Information Technology,S&P International Small Cap
Polynovo Limited,PNV-AU,Health Care,S&P International Small Cap
Costa Group Holdings Ltd.,CGC-AU,Consumer Staples,S&P International Small Cap
Moneysupermarket.com Group plc,MONY-GB,Consumer Discretionary,S&P International Small Cap
LXI REIT PLC,LXI-GB,Real Estate,S&P International Small Cap
KYORIN Holdings Inc.,4569-JP,Health Care,S&P International Small Cap
CHA Biotech Co. Ltd.,085660-KR,Health Care,S&P International Small Cap
GLOBERIDE Inc.,7990-JP,Consumer Discretionary,S&P International Small Cap
F.C.C.Co. Ltd.,7296-JP,Consumer Discretionary,S&P International Small Cap
TGS ASA,TGS-NO,Energy,S&P International Small Cap
Devro plc,DVO-GB,Consumer Staples,S&P International Small Cap
Mezzion Pharma Co. Ltd.,140410-KR,Health Care,S&P International Small Cap
SkiStar AB Class B,SKIS.B-SE,Consumer Discretionary,S&P International Small Cap
Kogan.com Ltd.,KGN-AU,Consumer Discretionary,S&P International Small Cap
KURABO INDUSTRIES LTD.,3106-JP,Consumer Discretionary,S&P International Small Cap
MCJ Co. Ltd.,6670-JP,Information Technology,S&P International Small Cap
AUB Group Limited,AUB-AU,Financials,S&P International Small Cap
Kissei Pharmaceutical Co. Ltd.,4547-JP,Health Care,S&P International Small Cap
iFAST Corporation Ltd,AIY-SG,Financials,S&P International Small Cap
Dios Fastigheter AB,DIOS-SE,Real Estate,S&P International Small Cap
Kitron ASA,KIT-NO,Information Technology,S&P International Small Cap
Deutsche EuroShop AG,DEQ-DE,Real Estate,S&P International Small Cap
Iino Kaiun KaishaLtd.,9119-JP,Industrials,S&P International Small Cap
Israel Canada (T.R) Ltd.,ISCN-IL,Real Estate,S&P International Small Cap
AEON Delight Co. Ltd.,9787-JP,Industrials,S&P International Small Cap
Zymeworks Inc.,ZYME,Health Care,S&P International Small Cap
Nagarro SE,NA9-DE,Information Technology,S&P International Small Cap
MEGMILK SNOW BRAND Co. Ltd.,2270-JP,Consumer Staples,S&P International Small Cap
JOST Werke AG,JST-DE,Industrials,S&P International Small Cap
Nishi-Nippon Financial Holdings Inc.,7189-JP,Financials,S&P International Small Cap
cBrain A/S,CBRAIN-DK,Information Technology,S&P International Small Cap
COOKPAD Inc.,2193-JP,Communication Services,S&P International Small Cap
SAF-HOLLAND SE,SFQ-DE,Consumer Discretionary,S&P International Small Cap
Sangetsu Corporation,8130-JP,Consumer Discretionary,S&P International Small Cap
Hansen Technologies Limited,HSN-AU,Information Technology,S&P International Small Cap
Sbanken ASA,SBANK-NO,Financials,S&P International Small Cap
Arbonia AG,ARBN-CH,Industrials,S&P International Small Cap
Takuma Co. Ltd.,6013-JP,Industrials,S&P International Small Cap
New Frontier Health Corp.,NFH,Health Care,S&P International Small Cap
Atrae Inc.,6194-JP,Communication Services,S&P International Small Cap
KH Neochem Co.Ltd.,4189-JP,Materials,S&P International Small Cap
AURELIUS Equity Opportunities SE & Co. KGaA,AR4-DE,Financials,S&P International Small Cap
MorphoSys AG,MOR-DE,Health Care,S&P International Small Cap
Spar Nord Bank A/S,SPNO-DK,Financials,S&P International Small Cap
Affimed N.V.,AFMD,Health Care,S&P International Small Cap
Swedencare AB,SECARE-SE,Health Care,S&P International Small Cap
Fox-Wizel Ltd.,FOX-IL,Consumer Discretionary,S&P International Small Cap
Australian Dollar,CASH_AUD,Unassigned,S&P International Small Cap
Avon Protection PLC,AVON-GB,Industrials,S&P International Small Cap
CEWE Stiftung & Co. KGaA,CWC-DE,Industrials,S&P International Small Cap
Empiric Student Property Plc,ESP-GB,Real Estate,S&P International Small Cap
Yokowo Co. Ltd.,6800-JP,Information Technology,S&P International Small Cap
Yamazen Corporation,8051-JP,Industrials,S&P International Small Cap
Nippon Soda Co. Ltd.,4041-JP,Materials,S&P International Small Cap
LegoChem Biosciences Inc.,141080-KR,Health Care,S&P International Small Cap
NTN Corporation,6472-JP,Industrials,S&P International Small Cap
M&A Capital Partners Co. Ltd.,6080-JP,Financials,S&P International Small Cap
Nick Scali Limited,NCK-AU,Consumer Discretionary,S&P International Small Cap
Shiga Bank Ltd.,8366-JP,Financials,S&P International Small Cap
Hokkaido Electric Power CompanyIncorporated,9509-JP,Utilities,S&P International Small Cap
Chong Kun Dang Pharmaceutical Corp.,185750-KR,Health Care,S&P International Small Cap
IRISO Electronics Co. Ltd.,6908-JP,Information Technology,S&P International Small Cap
Taboola.com Ltd.,TBLA,Communication Services,S&P International Small Cap
Dong Wha Pharm Co. Ltd.,000020-KR,Health Care,S&P International Small Cap
X-FAB Silicon Foundries SE,XFAB-FR,Information Technology,S&P International Small Cap
Euromoney Institutional Investor PLC,ERM-GB,Communication Services,S&P International Small Cap
Materialise NV Sponsored ADR,MTLS,Information Technology,S&P International Small Cap
Hyundai Elevator Co. Ltd,017800-KR,Industrials,S&P International Small Cap
Gulf Keystone Petroleum Limited,GKP-GB,Energy,S&P International Small Cap
Quadient SA,QDT-FR,Information Technology,S&P International Small Cap
GeneOne Life Science Inc.,011000-KR,Health Care,S&P International Small Cap
MEC Company Ltd.,4971-JP,Materials,S&P International Small Cap
Mitsui DM Sugar Holdings Co.Ltd,2109-JP,Consumer Staples,S&P International Small Cap
Inaba Denkisangyo Co. Ltd.,9934-JP,Industrials,S&P International Small Cap
LS Corp.,006260-KR,Industrials,S&P International Small Cap
SHINSUNG E&G Co.LTD.,011930-KR,Information Technology,S&P International Small Cap
Daeduck Electronics Co. Ltd.,353200-KR,Information Technology,S&P International Small Cap
K. Wah International Holdings Limited,173-HK,Real Estate,S&P International Small Cap
G.U.D. Holdings Limited,GUD-AU,Consumer Discretionary,S&P International Small Cap
Shoei Co. Ltd. (7839),7839-JP,Consumer Discretionary,S&P International Small Cap
Coor Service Management Holding AB,COOR-SE,Industrials,S&P International Small Cap
Torex Gold Resources Inc.,TXG-CA,Materials,S&P International Small Cap
Ottogi Corp.,007310-KR,Consumer Staples,S&P International Small Cap
Torex Semiconductor Ltd.,6616-JP,Information Technology,S&P International Small Cap
AKKA Technologies SE,AKA-FR,Industrials,S&P International Small Cap
OPTRONTEC Inc.,082210-KR,Information Technology,S&P International Small Cap
Cibus Nordic Real Estate AB,CIBUS-SE,Real Estate,S&P International Small Cap
Vallourec SA,VK-FR,Energy,S&P International Small Cap
XP Power Ltd.,XPP-GB,Industrials,S&P International Small Cap
FRONTEO Inc.,2158-JP,Information Technology,S&P International Small Cap
Korea Petro Chemical Ind. Co. Ltd.,006650-KR,Materials,S&P International Small Cap
S Foods Inc.,2292-JP,Consumer Staples,S&P International Small Cap
Sienna Senior Living Inc.,SIA-CA,Health Care,S&P International Small Cap
HANWHA INVESTMENT&SECURITIES Co. Ltd.,003530-KR,Financials,S&P International Small Cap
NOMURA Co. Ltd.,9716-JP,Industrials,S&P International Small Cap
Handsome Corp,020000-KR,Consumer Discretionary,S&P International Small Cap
Pharmicell Co. Ltd,005690-KR,Health Care,S&P International Small Cap
Paramount Bed Holdings Co. Ltd.,7817-JP,Health Care,S&P International Small Cap
Seabridge Gold Inc,SEA-CA,Materials,S&P International Small Cap
Hanmi Semiconductor Co. Ltd,042700-KR,Information Technology,S&P International Small Cap
Beneteau SA,BEN-FR,Consumer Discretionary,S&P International Small Cap
Argosy Property Limited,ARG-NZ,Real Estate,S&P International Small Cap
CRE Logistics REIT Inc,3487-JP,Real Estate,S&P International Small Cap
Taihan Electric Wire Co. Ltd.,001440-KR,Industrials,S&P International Small Cap
Retail Estates NV,RET-BE,Real Estate,S&P International Small Cap
Ichigo Office REIT Investment Corporation,8975-JP,Real Estate,S&P International Small Cap
Bioneer Corporation,064550-KR,Health Care,S&P International Small Cap
Kumagai Gumi Co. Ltd.,1861-JP,Industrials,S&P International Small Cap
LNA Sante SA,LNA-FR,Health Care,S&P International Small Cap
Aecon Group Inc.,ARE-CA,Industrials,S&P International Small Cap
Furukawa Electric Co. Ltd.,5801-JP,Industrials,S&P International Small Cap
Daejoo Electronic Materials Co. Ltd.,078600-KR,Information Technology,S&P International Small Cap
Japanese Yen,CASH_JPY,Unassigned,S&P International Small Cap
Bigben Interactive SA,BIG-FR,Consumer Discretionary,S&P International Small Cap
NHN KCP Corp.,060250-KR,Information Technology,S&P International Small Cap
YIT Oyj,YIT-FI,Industrials,S&P International Small Cap
JIN AIR Co. Ltd.,272450-KR,Industrials,S&P International Small Cap
Mcmillan Shakespeare Limited,MMS-AU,Industrials,S&P International Small Cap
Frontline Ltd.,FRO-NO,Energy,S&P International Small Cap
IGG Inc.,799-HK,Communication Services,S&P International Small Cap
Badger Infrastructure Solutions Ltd,BDGI-CA,Industrials,S&P International Small Cap
Insun Environmental New Technology Co. Ltd.,060150-KR,Industrials,S&P International Small Cap
BFF Bank SpA,BFF-IT,Financials,S&P International Small Cap
Matrix IT Ltd.,MTRX-IL,Information Technology,S&P International Small Cap
Gurit Holding AG,GUR-CH,Materials,S&P International Small Cap
Youngone Corp.,111770-KR,Consumer Discretionary,S&P International Small Cap
MOS FOOD SERVICES INC.,8153-JP,Consumer Discretionary,S&P International Small Cap
Endeavour Silver Corp.,EDR-CA,Materials,S&P International Small Cap
Oisix ra daichi Inc.,3182-JP,Consumer Discretionary,S&P International Small Cap
Green Cross LabCell Corporation,144510-KR,Health Care,S&P International Small Cap
Argo Graphics Inc.,7595-JP,Information Technology,S&P International Small Cap
Meiko Electronics Co. Ltd.,6787-JP,Information Technology,S&P International Small Cap
Aiful Corporation,8515-JP,Financials,S&P International Small Cap
Riken Keiki Co. Ltd.,7734-JP,Information Technology,S&P International Small Cap
Chemring Group PLC,CHG-GB,Industrials,S&P International Small Cap
Hachijuni Bank Ltd.,8359-JP,Financials,S&P International Small Cap
Bunka Shutter Co. Ltd.,5930-JP,Industrials,S&P International Small Cap
Mori Trust Sogo Reit Inc.,8961-JP,Real Estate,S&P International Small Cap
OrganiGram Holdings Inc,OGI-CA,Health Care,S&P International Small Cap
Energean Plc,ENOG-GB,Energy,S&P International Small Cap
City Chic Collective Limited,CCX-AU,Consumer Discretionary,S&P International Small Cap
Citycon Oyj,CTY1S-FI,Real Estate,S&P International Small Cap
Okumura Corporation,1833-JP,Industrials,S&P International Small Cap
SMA Solar Technology AG,S92-DE,Information Technology,S&P International Small Cap
Luk Fook Holdings (International) Limited,590-HK,Consumer Discretionary,S&P International Small Cap
Atrium Mortgage Investment Corp.,AI-CA,Financials,S&P International Small Cap
Saizeriya Co. Ltd.,7581-JP,Consumer Discretionary,S&P International Small Cap
SENKO Group Holdings Co.Ltd.,9069-JP,Industrials,S&P International Small Cap
Zenrin Co. Ltd.,9474-JP,Communication Services,S&P International Small Cap
Hochschild Mining plc,HOC-GB,Materials,S&P International Small Cap
Comture Corporation,3844-JP,Information Technology,S&P International Small Cap
TOC Co. Ltd.,8841-JP,Real Estate,S&P International Small Cap
Polaris Infrastructure Inc.,PIF-CA,Utilities,S&P International Small Cap
DHT Holdings Inc.,DHT,Energy,S&P International Small Cap
Dong-A Socio Holdings Co. Ltd.,000640-KR,Health Care,S&P International Small Cap
Yodogawa Steel Works Ltd.,5451-JP,Materials,S&P International Small Cap
Tokai Tokyo Financial Holdings Inc.,8616-JP,Financials,S&P International Small Cap
HKBN Ltd.,1310-HK,Communication Services,S&P International Small Cap
Fagron SA,FAGR-BE,Health Care,S&P International Small Cap
OKI Electric Industry Company Limited,6703-JP,Information Technology,S&P International Small Cap
EM-Tech. Co. Ltd.,091120-KR,Information Technology,S&P International Small Cap
Nissha Co.Ltd.,7915-JP,Information Technology,S&P International Small Cap
Ai Holdings Corporation,3076-JP,Information Technology,S&P International Small Cap
TechMatrix Corporation,3762-JP,Information Technology,S&P International Small Cap
BioGaia AB Class B,BIOG.B-SE,Health Care,S&P International Small Cap
Shima Seiki Mfg. Ltd.,6222-JP,Industrials,S&P International Small Cap
CDL Hospitality Trusts,J85-SG,Real Estate,S&P International Small Cap
Singapore Post Ltd.,S08-SG,Industrials,S&P International Small Cap
Rural Funds Group,RFF-AU,Real Estate,S&P International Small Cap
Munters Group AB,MTRS-SE,Industrials,S&P International Small Cap
GREE Inc.,3632-JP,Communication Services,S&P International Small Cap
KOMEDA Holdings Co. Ltd.,3543-JP,Consumer Discretionary,S&P International Small Cap
Agfa-Gevaert NV,AGFB-BE,Health Care,S&P International Small Cap
Paradise Co. Ltd,034230-KR,Consumer Discretionary,S&P International Small Cap
Doosan Corporation,000150-KR,Industrials,S&P International Small Cap
Jahwa Electronics Co. Ltd,033240-KR,Information Technology,S&P International Small Cap
Minwise Co.Ltd.,214180-KR,Information Technology,S&P International Small Cap
Draegerwerk AG & Co. KGaA Pref,DRW3-DE,Health Care,S&P International Small Cap
Kanamoto Co. Ltd.,9678-JP,Industrials,S&P International Small Cap
JINS HOLDINGS Inc.,3046-JP,Consumer Discretionary,S&P International Small Cap
Intervest Offices & Warehouses SA,INTO-BE,Real Estate,S&P International Small Cap
FLSmidth & Co. A/S,FLS-DK,Industrials,S&P International Small Cap
Tinexta SpA,TNXT-IT,Industrials,S&P International Small Cap
SHIBUYA KOGYO CO LTD,6340-JP,Industrials,S&P International Small Cap
MeiraGTx Holdings Plc,MGTX,Health Care,S&P International Small Cap
Zeria Pharmaceutical Co. Ltd.,4559-JP,Health Care,S&P International Small Cap
Harim Holdings Co. Ltd.,003380-KR,Consumer Staples,S&P International Small Cap
Aidigong Maternal & Child Health Limited,286-HK,Health Care,S&P International Small Cap
Koh Young Technology Inc.,098460-KR,Information Technology,S&P International Small Cap
China Tobacco International (HK) Co. Ltd.,6055-HK,Consumer Discretionary,S&P International Small Cap
TomTom NV,TOM2-NL,Consumer Discretionary,S&P International Small Cap
Schroder Real Estate Investment Trust Ltd,SREI-GB,Real Estate,S&P International Small Cap
Hirata Corporation,6258-JP,Industrials,S&P International Small Cap
Fingerprint Cards AB Class B,FING.B-SE,Information Technology,S&P International Small Cap
en Japan Inc.,4849-JP,Industrials,S&P International Small Cap
OUE Commercial Real Estate Investment Trust,TS0U-SG,Real Estate,S&P International Small Cap
San-in Godo Bank Ltd.,8381-JP,Financials,S&P International Small Cap
St. Barbara Ltd.,SBM-AU,Materials,S&P International Small Cap
AMG Advanced Metallurgical Group N.V.,AMG-NL,Materials,S&P International Small Cap
Mediaset Espana Comunicacion SA,TL5-ES,Communication Services,S&P International Small Cap
BHG Group AB,BHG-SE,Consumer Discretionary,S&P International Small Cap
DAOU TECHNOLOGY Inc.,023590-KR,Financials,S&P International Small Cap
MBB SE,MBB-DE,Industrials,S&P International Small Cap
oOh media Ltd,OML-AU,Communication Services,S&P International Small Cap
Centuria Capital Group,CNI-AU,Real Estate,S&P International Small Cap
Cosmo AM&T Co. Ltd.,005070-KR,Information Technology,S&P International Small Cap
TOCALO Co. Ltd.,3433-JP,Industrials,S&P International Small Cap
Nichicon Corporation,6996-JP,Information Technology,S&P International Small Cap
HLB Life Science Co.Ltd.,067630-KR,Health Care,S&P International Small Cap
NTG Nordic Transport Group A/S,NTG-DK,Industrials,S&P International Small Cap
Clipper Logistics PLC,CLG-GB,Industrials,S&P International Small Cap
Inrom Construction Industries Ltd,INRM-IL,Industrials,S&P International Small Cap
Dicker Data Limited,DDR-AU,Information Technology,S&P International Small Cap
Baby Bunting Group Ltd.,BBN-AU,Consumer Discretionary,S&P International Small Cap
Tecnicas Reunidas SA,TRE-ES,Energy,S&P International Small Cap
Chiyoda Corp.,6366-JP,Industrials,S&P International Small Cap
AcadeMedia AB,ACAD-SE,Consumer Discretionary,S&P International Small Cap
Prestige International Inc.,4290-JP,Industrials,S&P International Small Cap
Tassal Group Limited,TGR-AU,Consumer Staples,S&P International Small Cap
Irish Continental Group PLC Units Cons.of 1 Sh (CH24411198)and up to 10 Red Shs (Nil Issued),IR5B-IE,Industrials,S&P International Small Cap
MARUWA CO. LTD.,5344-JP,Information Technology,S&P International Small Cap
Park Lawn Corporation,PLC-CA,Consumer Discretionary,S&P International Small Cap
PowerCell Sweden AB,PCELL-SE,Industrials,S&P International Small Cap
AEDAS Homes SA,AEDAS-ES,Real Estate,S&P International Small Cap
EIZO Corp.,6737-JP,Information Technology,S&P International Small Cap
Green Cross Holdings Corporation,005250-KR,Health Care,S&P International Small Cap
Takara Standard Co. Ltd,7981-JP,Industrials,S&P International Small Cap
Daihen Corporation,6622-JP,Industrials,S&P International Small Cap
