Name,Ticker,Sector,Category
Daimler AG,DAI-DE,Consumer Discretionary,MSCI ACWI ex-US
Brookfield Asset Management Inc. Class A,BAM.A-CA,Financials,MSCI ACWI ex-US
Hong Kong Exchanges & Clearing Ltd.,388-HK,Financials,MSCI ACWI ex-US
Royal Dutch Shell Plc Class A,RDSA-GB,Energy,MSCI ACWI ex-US
Bank of Nova Scotia,BNS-CA,Financials,MSCI ACWI ex-US
Zurich Insurance Group Ltd,ZURN-CH,Financials,MSCI ACWI ex-US
British American Tobacco p.l.c.,BATS-GB,Consumer Staples,MSCI ACWI ex-US
Deutsche Post AG,DPW-DE,Industrials,MSCI ACWI ex-US
Givaudan SA,GIVN-CH,Materials,MSCI ACWI ex-US
ABB Ltd.,ABBN-CH,Industrials,MSCI ACWI ex-US
UBS Group AG,UBSG-CH,Financials,MSCI ACWI ex-US
Rio Tinto plc,RIO-GB,Materials,MSCI ACWI ex-US
Westpac Banking Corporation,WBC-AU,Financials,MSCI ACWI ex-US
Shin-Etsu Chemical Co Ltd,4063-JP,Materials,MSCI ACWI ex-US
Airbus SE,AIR-FR,Industrials,MSCI ACWI ex-US
Compagnie Financiere Richemont SA,CFR-CH,Consumer Discretionary,MSCI ACWI ex-US
BNP Paribas SA Class A,BNP-FR,Financials,MSCI ACWI ex-US
Deutsche Telekom AG,DTE-DE,Communication Services,MSCI ACWI ex-US
Hon Hai Precision Industry Co. Ltd. Sponsored GDR RegS,HHPD-GB,Information Technology,MSCI ACWI ex-US
DSV A/S,DSV-DK,Industrials,MSCI ACWI ex-US
BASF SE,BAS-DE,Materials,MSCI ACWI ex-US
Tokyo Electron Ltd.,8035-JP,Information Technology,MSCI ACWI ex-US
adidas AG,ADS-DE,Consumer Discretionary,MSCI ACWI ex-US
Macquarie Group Limited,MQG-AU,Financials,MSCI ACWI ex-US
SoftBank Group Corp.,9984-JP,Communication Services,MSCI ACWI ex-US
Atlas Copco AB Class B,ATCO.B-SE,Industrials,MSCI ACWI ex-US
Canadian Pacific Railway Limited,CP-CA,Industrials,MSCI ACWI ex-US
HOYA CORPORATION,7741-JP,Health Care,MSCI ACWI ex-US
Kering SA,KER-FR,Consumer Discretionary,MSCI ACWI ex-US
National Grid plc,NG-GB,Utilities,MSCI ACWI ex-US
National Australia Bank Limited,NAB-AU,Financials,MSCI ACWI ex-US
DBS Group Holdings Ltd,D05-SG,Financials,MSCI ACWI ex-US
Enel SpA,ENEL-IT,Utilities,MSCI ACWI ex-US
Australia and New Zealand Banking Group Limited,ANZ-AU,Financials,MSCI ACWI ex-US
Recruit Holdings Co. Ltd.,6098-JP,Industrials,MSCI ACWI ex-US
Enbridge Inc.,ENB-CA,Energy,MSCI ACWI ex-US
EssilorLuxottica SA,EL-FR,Consumer Discretionary,MSCI ACWI ex-US
Public Joint-Stock Company Gazprom Sponsored ADR,OGZD-GB,Energy,MSCI ACWI ex-US
VINCI SA,DG-FR,Industrials,MSCI ACWI ex-US
Koninklijke DSM N.V.,DSM-NL,Materials,MSCI ACWI ex-US
JD.com Inc. Sponsored ADR Class A,JD,Consumer Discretionary,MSCI ACWI ex-US
Lonza Group AG,LONN-CH,Health Care,MSCI ACWI ex-US
Oil company LUKOIL PJSC Sponsored ADR,LUKOY,Energy,MSCI ACWI ex-US
Adyen NV,ADYEN-NL,Information Technology,MSCI ACWI ex-US
Mitsubishi UFJ Financial Group Inc.,8306-JP,Financials,MSCI ACWI ex-US
Pernod Ricard SA,RI-FR,Consumer Staples,MSCI ACWI ex-US
HitachiLtd.,6501-JP,Industrials,MSCI ACWI ex-US
Canadian Imperial Bank of Commerce,CM-CA,Financials,MSCI ACWI ex-US
Banco Santander S.A.,SAN-ES,Financials,MSCI ACWI ex-US
RELX PLC,REL-GB,Industrials,MSCI ACWI ex-US
Glencore plc,GLEN-GB,Materials,MSCI ACWI ex-US
Murata Manufacturing Co. Ltd.,6981-JP,Information Technology,MSCI ACWI ex-US
Koninklijke Philips N.V.,PHIA-NL,Health Care,MSCI ACWI ex-US
NAVER Corp.,035420-KR,Communication Services,MSCI ACWI ex-US
Merck KGaA,MRK-DE,Health Care,MSCI ACWI ex-US
United Overseas Bank Ltd. (Singapore),U11-SG,Financials,MSCI ACWI ex-US
Bayer AG,BAYN-DE,Health Care,MSCI ACWI ex-US
Munich Reinsurance Company,MUV2-DE,Financials,MSCI ACWI ex-US
Wesfarmers Limited,WES-AU,Consumer Discretionary,MSCI ACWI ex-US
Canadian Natural Resources Limited,CNQ-CA,Energy,MSCI ACWI ex-US
Nidec Corporation,6594-JP,Industrials,MSCI ACWI ex-US
Wolters Kluwer NV,WKL-NL,Industrials,MSCI ACWI ex-US
Vestas Wind Systems A/S,VWS-DK,Industrials,MSCI ACWI ex-US
Reckitt Benckiser Group plc,RKT-GB,Consumer Staples,MSCI ACWI ex-US
DAIKIN INDUSTRIES LTD.,6367-JP,Industrials,MSCI ACWI ex-US
China Merchants Bank Co. Ltd. Class H,3968-HK,Financials,MSCI ACWI ex-US
ING Groep NV,INGA-NL,Financials,MSCI ACWI ex-US
BHP Group Plc,BHP-GB,Materials,MSCI ACWI ex-US
Nutrien Ltd.,NTR-CA,Materials,MSCI ACWI ex-US
KDDI Corporation,9433-JP,Communication Services,MSCI ACWI ex-US
AXA SA,CS-FR,Financials,MSCI ACWI ex-US
Anglo American plc,AAL-GB,Materials,MSCI ACWI ex-US
MediaTek Inc,2454-TW,Information Technology,MSCI ACWI ex-US
Capgemini SE,CAP-FR,Information Technology,MSCI ACWI ex-US
Mitsubishi Corporation,8058-JP,Industrials,MSCI ACWI ex-US
Wuxi Biologics (Cayman) Inc.,2269-HK,Health Care,MSCI ACWI ex-US
Itochu Corporation,8001-JP,Industrials,MSCI ACWI ex-US
Experian PLC,EXPN-GB,Industrials,MSCI ACWI ex-US
CRH Plc,CRG-IE,Materials,MSCI ACWI ex-US
NIO Inc. Sponsored ADR Class A,NIO,Consumer Discretionary,MSCI ACWI ex-US
Nintendo Co. Ltd.,7974-JP,Communication Services,MSCI ACWI ex-US
National Bank of Canada,NA-CA,Financials,MSCI ACWI ex-US
ICICI Bank Limited Sponsored ADR,IBN,Financials,MSCI ACWI ex-US
Geberit AG,GEBN-CH,Industrials,MSCI ACWI ex-US
SK hynix Inc,000660-KR,Information Technology,MSCI ACWI ex-US
China Construction Bank Corporation Class H,939-HK,Financials,MSCI ACWI ex-US
Industria de Diseno Textil S.A.,ITX-ES,Consumer Discretionary,MSCI ACWI ex-US
Barclays PLC,BARC-GB,Financials,MSCI ACWI ex-US
Woolworths Group Ltd,WOW-AU,Consumer Staples,MSCI ACWI ex-US
Koninklijke Ahold Delhaize N.V.,AD-NL,Consumer Staples,MSCI ACWI ex-US
Deutsche Boerse AG,DB1-DE,Financials,MSCI ACWI ex-US
Compass Group PLC,CPG-GB,Consumer Discretionary,MSCI ACWI ex-US
Danone SA,BN-FR,Consumer Staples,MSCI ACWI ex-US
Baidu Inc Sponsored ADR Class A,BIDU,Communication Services,MSCI ACWI ex-US
Honda Motor Co. Ltd.,7267-JP,Consumer Discretionary,MSCI ACWI ex-US
TC Energy Corporation,TRP-CA,Energy,MSCI ACWI ex-US
Thomson Reuters Corporation,TRI-CA,Industrials,MSCI ACWI ex-US
Takeda Pharmaceutical Co. Ltd.,4502-JP,Health Care,MSCI ACWI ex-US
Anheuser-Busch InBev SA/NV,ABI-BE,Consumer Staples,MSCI ACWI ex-US
Sika AG,SIKA-CH,Materials,MSCI ACWI ex-US
Fujitsu Limited,6702-JP,Information Technology,MSCI ACWI ex-US
Daiichi Sankyo Company Limited,4568-JP,Health Care,MSCI ACWI ex-US
Ferrari NV,RACE-IT,Consumer Discretionary,MSCI ACWI ex-US
Sun Life Financial Inc.,SLF-CA,Financials,MSCI ACWI ex-US
Fanuc Corporation,6954-JP,Industrials,MSCI ACWI ex-US
Vale S.A. Sponsored ADR,VALE,Materials,MSCI ACWI ex-US
ASSA ABLOY AB Class B,ASSA.B-SE,Industrials,MSCI ACWI ex-US
Tokio Marine Holdings Inc.,8766-JP,Financials,MSCI ACWI ex-US
Terumo Corporation,4543-JP,Health Care,MSCI ACWI ex-US
Suncor Energy Inc.,SU-CA,Energy,MSCI ACWI ex-US
Nippon Telegraph and Telephone Corporation,9432-JP,Communication Services,MSCI ACWI ex-US
Astellas Pharma Inc.,4503-JP,Health Care,MSCI ACWI ex-US
Safran S.A.,SAF-FR,Industrials,MSCI ACWI ex-US
Telefonaktiebolaget LM Ericsson Class B,ERIC.B-SE,Information Technology,MSCI ACWI ex-US
Mitsui & Co.Ltd,8031-JP,Industrials,MSCI ACWI ex-US
Banco Bilbao Vizcaya Argentaria S.A.,BBVA-ES,Financials,MSCI ACWI ex-US
Vodafone Group Plc,VOD-GB,Communication Services,MSCI ACWI ex-US
Housing Development Finance Corporation Limited,500010-IN,Financials,MSCI ACWI ex-US
Loblaw Companies Limited,L-CA,Consumer Staples,MSCI ACWI ex-US
Alcon AG,ALC-CH,Health Care,MSCI ACWI ex-US
SSE plc,SSE-GB,Utilities,MSCI ACWI ex-US
Ferguson Plc,FERG-GB,Industrials,MSCI ACWI ex-US
DENSO CORPORATION,6902-JP,Consumer Discretionary,MSCI ACWI ex-US
Prudential plc,PRU-GB,Financials,MSCI ACWI ex-US
