Name,Ticker,Sector,Category,Weight
Keyence Corporation,6861-JP,Information Technology,ACWI ex-US,0.346765
Bank of Montreal,BMO-CA,Financials,ACWI ex-US,0.341686
BHP Group Ltd,BHP-AU,Materials,ACWI ex-US,0.338817
Daimler AG,DAI-DE,Consumer Discretionary,ACWI ex-US,0.337547
Brookfield Asset Management Inc. Class A,BAM.A-CA,Financials,ACWI ex-US,0.336731
Hong Kong Exchanges & Clearing Ltd.,388-HK,Financials,ACWI ex-US,0.327598
Royal Dutch Shell Plc Class A,RDSA-GB,Energy,ACWI ex-US,0.323368
Bank of Nova Scotia,BNS-CA,Financials,ACWI ex-US,0.313811
Zurich Insurance Group Ltd,ZURN-CH,Financials,ACWI ex-US,0.313096
British American Tobacco p.l.c.,BATS-GB,Consumer Staples,ACWI ex-US,0.312649
Deutsche Post AG,DPW-DE,Industrials,ACWI ex-US,0.308871
Givaudan SA,GIVN-CH,Materials,ACWI ex-US,0.305661
ABB Ltd.,ABBN-CH,Industrials,ACWI ex-US,0.30358
UBS Group AG,UBSG-CH,Financials,ACWI ex-US,0.294382
Rio Tinto plc,RIO-GB,Materials,ACWI ex-US,0.287562
Westpac Banking Corporation,WBC-AU,Financials,ACWI ex-US,0.285342
Shin-Etsu Chemical Co Ltd,4063-JP,Materials,ACWI ex-US,0.284891
Airbus SE,AIR-FR,Industrials,ACWI ex-US,0.284269
Compagnie Financiere Richemont SA,CFR-CH,Consumer Discretionary,ACWI ex-US,0.281307
BNP Paribas SA Class A,BNP-FR,Financials,ACWI ex-US,0.279835
Deutsche Telekom AG,DTE-DE,Communication Services,ACWI ex-US,0.276538
Hon Hai Precision Industry Co. Ltd. Sponsored GDR RegS,HHPD-GB,Information Technology,ACWI ex-US,0.269616
DSV A/S,DSV-DK,Industrials,ACWI ex-US,0.268043
BASF SE,BAS-DE,Materials,ACWI ex-US,0.267886
Tokyo Electron Ltd.,8035-JP,Information Technology,ACWI ex-US,0.267502
adidas AG,ADS-DE,Consumer Discretionary,ACWI ex-US,0.267266
Macquarie Group Limited,MQG-AU,Financials,ACWI ex-US,0.263143
SoftBank Group Corp.,9984-JP,Communication Services,ACWI ex-US,0.262194
Atlas Copco AB Class B,ATCO.B-SE,Industrials,ACWI ex-US,0.261166
Canadian Pacific Railway Limited,CP-CA,Industrials,ACWI ex-US,0.261152
HOYA CORPORATION,7741-JP,Health Care,ACWI ex-US,0.258032
Kering SA,KER-FR,Consumer Discretionary,ACWI ex-US,0.255346
National Grid plc,NG-GB,Utilities,ACWI ex-US,0.252303
National Australia Bank Limited,NAB-AU,Financials,ACWI ex-US,0.251987
DBS Group Holdings Ltd,D05-SG,Financials,ACWI ex-US,0.251941
Enel SpA,ENEL-IT,Utilities,ACWI ex-US,0.247969
Australia and New Zealand Banking Group Limited,ANZ-AU,Financials,ACWI ex-US,0.247755
Recruit Holdings Co. Ltd.,6098-JP,Industrials,ACWI ex-US,0.246907
Enbridge Inc.,ENB-CA,Energy,ACWI ex-US,0.243746
EssilorLuxottica SA,EL-FR,Consumer Discretionary,ACWI ex-US,0.241478
Public Joint-Stock Company Gazprom Sponsored ADR,OGZD-GB,Energy,ACWI ex-US,0.240699
VINCI SA,DG-FR,Industrials,ACWI ex-US,0.239365
Koninklijke DSM N.V.,DSM-NL,Materials,ACWI ex-US,0.238327
JD.com Inc. Sponsored ADR Class A,JD,Consumer Discretionary,ACWI ex-US,0.237574
Lonza Group AG,LONN-CH,Health Care,ACWI ex-US,0.237046
Oil company LUKOIL PJSC Sponsored ADR,LUKOY,Energy,ACWI ex-US,0.236737
Adyen NV,ADYEN-NL,Information Technology,ACWI ex-US,0.236384
Mitsubishi UFJ Financial Group Inc.,8306-JP,Financials,ACWI ex-US,0.234008
Pernod Ricard SA,RI-FR,Consumer Staples,ACWI ex-US,0.234005
HitachiLtd.,6501-JP,Industrials,ACWI ex-US,0.232532
Canadian Imperial Bank of Commerce,CM-CA,Financials,ACWI ex-US,0.229351
Banco Santander S.A.,SAN-ES,Financials,ACWI ex-US,0.227987
RELX PLC,REL-GB,Industrials,ACWI ex-US,0.227356
Glencore plc,GLEN-GB,Materials,ACWI ex-US,0.227072
Murata Manufacturing Co. Ltd.,6981-JP,Information Technology,ACWI ex-US,0.225304
Koninklijke Philips N.V.,PHIA-NL,Health Care,ACWI ex-US,0.22506
NAVER Corp.,035420-KR,Communication Services,ACWI ex-US,0.224905
Merck KGaA,MRK-DE,Health Care,ACWI ex-US,0.223461
United Overseas Bank Ltd. (Singapore),U11-SG,Financials,ACWI ex-US,0.223061
Bayer AG,BAYN-DE,Health Care,ACWI ex-US,0.221613
Munich Reinsurance Company,MUV2-DE,Financials,ACWI ex-US,0.221561
Wesfarmers Limited,WES-AU,Consumer Discretionary,ACWI ex-US,0.219753
Canadian Natural Resources Limited,CNQ-CA,Energy,ACWI ex-US,0.217005
Nidec Corporation,6594-JP,Industrials,ACWI ex-US,0.215953
Wolters Kluwer NV,WKL-NL,Industrials,ACWI ex-US,0.215423
Vestas Wind Systems A/S,VWS-DK,Industrials,ACWI ex-US,0.214766
Reckitt Benckiser Group plc,RKT-GB,Consumer Staples,ACWI ex-US,0.212085
DAIKIN INDUSTRIES LTD.,6367-JP,Industrials,ACWI ex-US,0.210777
China Merchants Bank Co. Ltd. Class H,3968-HK,Financials,ACWI ex-US,0.209969
ING Groep NV,INGA-NL,Financials,ACWI ex-US,0.207999
BHP Group Plc,BHP-GB,Materials,ACWI ex-US,0.207832
Nutrien Ltd.,NTR-CA,Materials,ACWI ex-US,0.207423
KDDI Corporation,9433-JP,Communication Services,ACWI ex-US,0.206387
AXA SA,CS-FR,Financials,ACWI ex-US,0.206142
Anglo American plc,AAL-GB,Materials,ACWI ex-US,0.204393
MediaTek Inc,2454-TW,Information Technology,ACWI ex-US,0.204061
Capgemini SE,CAP-FR,Information Technology,ACWI ex-US,0.201258
Mitsubishi Corporation,8058-JP,Industrials,ACWI ex-US,0.199523
Wuxi Biologics (Cayman) Inc.,2269-HK,Health Care,ACWI ex-US,0.196802
Itochu Corporation,8001-JP,Industrials,ACWI ex-US,0.194863
Experian PLC,EXPN-GB,Industrials,ACWI ex-US,0.194814
CRH Plc,CRG-IE,Materials,ACWI ex-US,0.194226
NIO Inc. Sponsored ADR Class A,NIO,Consumer Discretionary,ACWI ex-US,0.193528
Nintendo Co. Ltd.,7974-JP,Communication Services,ACWI ex-US,0.19301
National Bank of Canada,NA-CA,Financials,ACWI ex-US,0.191402
ICICI Bank Limited Sponsored ADR,IBN,Financials,ACWI ex-US,0.191327
Geberit AG,GEBN-CH,Industrials,ACWI ex-US,0.19062
SK hynix Inc,000660-KR,Information Technology,ACWI ex-US,0.188708
China Construction Bank Corporation Class H,939-HK,Financials,ACWI ex-US,0.186339
Industria de Diseno Textil S.A.,ITX-ES,Consumer Discretionary,ACWI ex-US,0.186245
Barclays PLC,BARC-GB,Financials,ACWI ex-US,0.185373
Woolworths Group Ltd,WOW-AU,Consumer Staples,ACWI ex-US,0.183931
Koninklijke Ahold Delhaize N.V.,AD-NL,Consumer Staples,ACWI ex-US,0.182485
Deutsche Boerse AG,DB1-DE,Financials,ACWI ex-US,0.181399
Compass Group PLC,CPG-GB,Consumer Discretionary,ACWI ex-US,0.179518
Danone SA,BN-FR,Consumer Staples,ACWI ex-US,0.179379
Baidu Inc Sponsored ADR Class A,BIDU,Communication Services,ACWI ex-US,0.179375
Honda Motor Co. Ltd.,7267-JP,Consumer Discretionary,ACWI ex-US,0.178801
TC Energy Corporation,TRP-CA,Energy,ACWI ex-US,0.178578
Thomson Reuters Corporation,TRI-CA,Industrials,ACWI ex-US,0.178359
Takeda Pharmaceutical Co. Ltd.,4502-JP,Health Care,ACWI ex-US,0.177708
Anheuser-Busch InBev SA/NV,ABI-BE,Consumer Staples,ACWI ex-US,0.176787
Sika AG,SIKA-CH,Materials,ACWI ex-US,0.176127
Fujitsu Limited,6702-JP,Information Technology,ACWI ex-US,0.175742
Daiichi Sankyo Company Limited,4568-JP,Health Care,ACWI ex-US,0.174974
Ferrari NV,RACE-IT,Consumer Discretionary,ACWI ex-US,0.174506
Sun Life Financial Inc.,SLF-CA,Financials,ACWI ex-US,0.173811
Fanuc Corporation,6954-JP,Industrials,ACWI ex-US,0.173727
Vale S.A. Sponsored ADR,VALE,Materials,ACWI ex-US,0.173302
ASSA ABLOY AB Class B,ASSA.B-SE,Industrials,ACWI ex-US,0.170579
Tokio Marine Holdings Inc.,8766-JP,Financials,ACWI ex-US,0.170478
Terumo Corporation,4543-JP,Health Care,ACWI ex-US,0.170465
Suncor Energy Inc.,SU-CA,Energy,ACWI ex-US,0.169317
Nippon Telegraph and Telephone Corporation,9432-JP,Communication Services,ACWI ex-US,0.169119
Astellas Pharma Inc.,4503-JP,Health Care,ACWI ex-US,0.168402
Safran S.A.,SAF-FR,Industrials,ACWI ex-US,0.167518
Telefonaktiebolaget LM Ericsson Class B,ERIC.B-SE,Information Technology,ACWI ex-US,0.166375
Mitsui & Co.Ltd,8031-JP,Industrials,ACWI ex-US,0.166264
Banco Bilbao Vizcaya Argentaria S.A.,BBVA-ES,Financials,ACWI ex-US,0.165771
Vodafone Group Plc,VOD-GB,Communication Services,ACWI ex-US,0.164152
Housing Development Finance Corporation Limited,500010-IN,Financials,ACWI ex-US,0.163743
Loblaw Companies Limited,L-CA,Consumer Staples,ACWI ex-US,0.161665
Alcon AG,ALC-CH,Health Care,ACWI ex-US,0.160238
SSE plc,SSE-GB,Utilities,ACWI ex-US,0.159558
Ferguson Plc,FERG-GB,Industrials,ACWI ex-US,0.158259
DENSO CORPORATION,6902-JP,Consumer Discretionary,ACWI ex-US,0.15808
Prudential plc,PRU-GB,Financials,ACWI ex-US,0.157088
Industrial and Commercial Bank of China Limited Class H,1398-HK,Financials,ACWI ex-US,0.156936
Chunghwa Telecom Co. Ltd Sponsored ADR,CHT,Communication Services,ACWI ex-US,0.156925
Heineken NV,HEIA-NL,Consumer Staples,ACWI ex-US,0.156862
James Hardie Industries PLC Chess Units of Foreign Securities,JHX-AU,Materials,ACWI ex-US,0.15686
United Microelectronics Corp. Sponsored ADR,UMC,Information Technology,ACWI ex-US,0.155607
Lloyds Banking Group plc,LLOY-GB,Financials,ACWI ex-US,0.155575
FUJIFILM Holdings Corp,4901-JP,Information Technology,ACWI ex-US,0.152486
Intesa Sanpaolo S.p.A.,ISP-IT,Financials,ACWI ex-US,0.151926
FAST RETAILING CO. LTD.,9983-JP,Consumer Discretionary,ACWI ex-US,0.150673
Infineon Technologies AG,IFX-DE,Information Technology,ACWI ex-US,0.149986
Universal Music Group N.V.,UMG-NL,Communication Services,ACWI ex-US,0.14972
Techtronic Industries Co. Ltd.,669-HK,Industrials,ACWI ex-US,0.149047
China Mengniu Dairy Co. Ltd.,2319-HK,Consumer Staples,ACWI ex-US,0.148108
Nordea Bank Abp,NDA.SE-SE,Financials,ACWI ex-US,0.147271
Manulife Financial Corporation,MFC-CA,Financials,ACWI ex-US,0.147266
Dassault Systemes SA,DSY-FR,Information Technology,ACWI ex-US,0.14685
Eni S.p.A.,ENI-IT,Energy,ACWI ex-US,0.146485
Volvo AB Class B,VOLV.B-SE,Industrials,ACWI ex-US,0.145219
Ping An Insurance (Group) Company of China Ltd. Class H,2318-HK,Financials,ACWI ex-US,0.14376
Swiss Re AG,SREN-CH,Financials,ACWI ex-US,0.143407
Bayerische Motoren Werke AG,BMW-DE,Consumer Discretionary,ACWI ex-US,0.143343
America Movil SAB de CV Class L,AMXL-MX,Communication Services,ACWI ex-US,0.142784
Link Real Estate Investment Trust,823-HK,Real Estate,ACWI ex-US,0.142608
DNB Bank ASA,DNB-NO,Financials,ACWI ex-US,0.142597
NetEase Inc. Sponsored ADR,NTES,Communication Services,ACWI ex-US,0.142308
Hindustan Unilever Limited,500696-IN,Consumer Staples,ACWI ex-US,0.142008
Petroleo Brasileiro SA Sponsored ADR Pfd,PBR.A,Energy,ACWI ex-US,0.141701
Seven & I Holdings Co. Ltd.,3382-JP,Consumer Staples,ACWI ex-US,0.141502
Sberbank Russia PJSC Sponsored ADR,SBER-GB,Financials,ACWI ex-US,0.139968
Pinduoduo Inc. Sponsored ADR Class A,PDD,Consumer Discretionary,ACWI ex-US,0.13986
SMC Corporation,6273-JP,Industrials,ACWI ex-US,0.138875
Tata Consultancy Services Limited,532540-IN,Information Technology,ACWI ex-US,0.138609
Bridgestone Corporation,5108-JP,Consumer Discretionary,ACWI ex-US,0.138255
