Name,Ticker,Sector,Category,Weight
iBASE Technology Inc.,8050-TW,Information Technology,Emerging Markets Small Cap,0.073229
Sonata Software Limited,532221-IN,Information Technology,Emerging Markets Small Cap,0.073122
Ascentage Pharma Group International,6855-HK,Health Care,Emerging Markets Small Cap,0.072892
Zydus Wellness Limited,531335-IN,Consumer Staples,Emerging Markets Small Cap,0.072553
Intellect Design Arena Ltd,538835-IN,Information Technology,Emerging Markets Small Cap,0.072472
MK Restaurant Group PCL NVDR,M.R-TH,Consumer Discretionary,Emerging Markets Small Cap,0.072338
Grindwell Norton Limited,506076-IN,Industrials,Emerging Markets Small Cap,0.072119
China Bills Finance Corporation,2820-TW,Financials,Emerging Markets Small Cap,0.072108
Boursa Kuwait Securities Company (K.P.S.C),BOURSA-KW,Financials,Emerging Markets Small Cap,0.072102
CMGE Technology Group Limited,302-HK,Communication Services,Emerging Markets Small Cap,0.071712
AK Medical Holdings Ltd.,1789-HK,Health Care,Emerging Markets Small Cap,0.071606
Suven Pharmaceuticals Ltd.,543064-IN,Health Care,Emerging Markets Small Cap,0.071603
Tian Lun Gas Holdings Limited,1600-HK,Utilities,Emerging Markets Small Cap,0.071521
EirGenix Inc,6589-TW,Health Care,Emerging Markets Small Cap,0.071508
Egyptian Financial Group-Hermes Holding Co.,HRHO-EG,Financials,Emerging Markets Small Cap,0.071474
ChipMOS Technologies Inc.,8150-TW,Information Technology,Emerging Markets Small Cap,0.071458
Westlife Development Limited,505533-IN,Consumer Discretionary,Emerging Markets Small Cap,0.071302
IGB Real Estate Investment Trust,5227-MY,Real Estate,Emerging Markets Small Cap,0.071065
Ho Tung Chemical Corp.,1714-TW,Materials,Emerging Markets Small Cap,0.071032
TeamLease Services Limited,539658-IN,Industrials,Emerging Markets Small Cap,0.070904
Asia Vital Components Co. Ltd.,3017-TW,Information Technology,Emerging Markets Small Cap,0.070825
Lotte Chemical Titan Holdings Bhd,5284-MY,Materials,Emerging Markets Small Cap,0.070732
Qualicorp Consultoria e Corretora de Seguros S.A.,QUAL3-BR,Health Care,Emerging Markets Small Cap,0.070107
DCM Shriram Limited,523367-IN,Materials,Emerging Markets Small Cap,0.069972
Major Cineplex Group Public Co. Ltd. NVDR,MAJOR.R-TH,Communication Services,Emerging Markets Small Cap,0.069622
China New Higher Education Group Ltd,2001-HK,Consumer Discretionary,Emerging Markets Small Cap,0.069618
Meitu Inc,1357-HK,Communication Services,Emerging Markets Small Cap,0.069523
Bajaj Electricals Limited,500031-IN,Consumer Discretionary,Emerging Markets Small Cap,0.069441
Standard Foods Corporation,1227-TW,Consumer Staples,Emerging Markets Small Cap,0.069430
Japfa Ltd.,UD2-SG,Consumer Staples,Emerging Markets Small Cap,0.069270
Strides Pharma Science Ltd,532531-IN,Health Care,Emerging Markets Small Cap,0.069221
Commercial Real Estate Co.,ALTIJARIA-KW,Real Estate,Emerging Markets Small Cap,0.069218
Greatek Electronics Inc.,2441-TW,Information Technology,Emerging Markets Small Cap,0.069207
Cheng Uei Precision Industry Co. Ltd.,2392-TW,Information Technology,Emerging Markets Small Cap,0.069106
Thai Vegetable Oil Public Co. Ltd. NVDR,TVO.R-TH,Consumer Staples,Emerging Markets Small Cap,0.068910
Mercuries & Associates Holding Ltd.,2905-TW,Financials,Emerging Markets Small Cap,0.068862
NCC Limited,500294-IN,Industrials,Emerging Markets Small Cap,0.068782
Getac Holdings Corporation,3005-TW,Information Technology,Emerging Markets Small Cap,0.068663
KPIT Technologies Limited,542651-IN,Information Technology,Emerging Markets Small Cap,0.068510
Afya Limited Class A,AFYA,Consumer Discretionary,Emerging Markets Small Cap,0.068477
CESP - Companhia Energetica de Sao Paulo Class B,CESP6-BR,Utilities,Emerging Markets Small Cap,0.068007
Concentradora Fibra Danhos SA de CV,DANHOS13-MX,Real Estate,Emerging Markets Small Cap,0.067745
Ideanomics Inc.,IDEX,Industrials,Emerging Markets Small Cap,0.067576
Unisem (M) Bhd.,5005-MY,Information Technology,Emerging Markets Small Cap,0.067540
LAMDA Development S.A.,LAMDA-GR,Real Estate,Emerging Markets Small Cap,0.067513
Foxsemicon Integrated Technology Inc.,3413-TW,Information Technology,Emerging Markets Small Cap,0.067458
National Real Estate Co. S.A.K.,NRE-KW,Real Estate,Emerging Markets Small Cap,0.067458
E.I.D.-Parry (India) Limited,500125-IN,Materials,Emerging Markets Small Cap,0.067257
Cia de Ferro Ligas da Bahia-Ferbasa Pfd,FESA4-BR,Materials,Emerging Markets Small Cap,0.067178
DRDGOLD Limited,DRD-ZA,Materials,Emerging Markets Small Cap,0.067137
Aksa Akrilik Kimya Sanayi A.S.,AKSA.E-TR,Consumer Discretionary,Emerging Markets Small Cap,0.067082
Alpha Networks Inc.,3380-TW,Information Technology,Emerging Markets Small Cap,0.067081
Shin Zu Shing Co. Ltd.,3376-TW,Industrials,Emerging Markets Small Cap,0.067070
Titan Cement International N.V.,TITC-GR,Materials,Emerging Markets Small Cap,0.067029
Anadolu Efes Biracilik ve Malt Sanayii A.S.,AEFES.E-TR,Consumer Staples,Emerging Markets Small Cap,0.067011
Al Rajhi REIT Fund,4340-SA,Real Estate,Emerging Markets Small Cap,0.066847
Sinovac Biotech Ltd.,SVA,Health Care,Emerging Markets Small Cap,0.066790
Philip Morris CR as,TABAK-CZ,Consumer Staples,Emerging Markets Small Cap,0.066614
AmRest Holdings SE,EAT-PL,Consumer Discretionary,Emerging Markets Small Cap,0.066601
Jadwa REIT Saudi Fund,4342-SA,Real Estate,Emerging Markets Small Cap,0.066558
Al-Imtiaz Investment Group,ALIMTIAZ-KW,Financials,Emerging Markets Small Cap,0.066208
iDreamSky Technology Holdings Limited,1119-HK,Communication Services,Emerging Markets Small Cap,0.066185
Procter & Gamble Health Ltd.,500126-IN,Health Care,Emerging Markets Small Cap,0.066043
Zenitron Corporation,3028-TW,Information Technology,Emerging Markets Small Cap,0.066026
Talaat Moustafa Group Holding,TMGH-EG,Real Estate,Emerging Markets Small Cap,0.065808
GeoPark Ltd,GPRK,Energy,Emerging Markets Small Cap,0.065783
Qurain Petrochemical Industries Co. KSC,ALQURAIN-KW,Materials,Emerging Markets Small Cap,0.065679
National Gas & Industrialization Co.,2080-SA,Utilities,Emerging Markets Small Cap,0.065636
Riyad REIT,4330-SA,Real Estate,Emerging Markets Small Cap,0.065543
Aliansce Sonae Shopping Centers S.A.,ALSO3-BR,Real Estate,Emerging Markets Small Cap,0.065272
China Renaissance Holdings Limited,1911-HK,Financials,Emerging Markets Small Cap,0.065191
Herfy Food Services Co.,6002-SA,Consumer Discretionary,Emerging Markets Small Cap,0.064949
Alupar Investimento SA Unit Cons of 1 Sh + 2 Pfd Shs,ALUP11-BR,Utilities,Emerging Markets Small Cap,0.064892
Asia Pacific Telecom Co. Ltd.,3682-TW,Communication Services,Emerging Markets Small Cap,0.064875
Mirle Automation Corp.,2464-TW,Industrials,Emerging Markets Small Cap,0.064828
Deyaar Development (P.J.S.C),DEYAAR-AE,Real Estate,Emerging Markets Small Cap,0.064808
Orient Electric Ltd.,541301-IN,Consumer Discretionary,Emerging Markets Small Cap,0.064776
Banco do Estado do Rio Grande do Sul SA Pfd Series B,BRSR6-BR,Financials,Emerging Markets Small Cap,0.064671
Guotai Junan International Holdings Limited,1788-HK,Financials,Emerging Markets Small Cap,0.064661
GemTek Technology Co. Ltd.,4906-TW,Information Technology,Emerging Markets Small Cap,0.064606
Thoresen Thai Agencies Public Co. Ltd.(Alien Mkt),TTA.F-TH,Industrials,Emerging Markets Small Cap,0.064535
Finolex Industries Limited,500940-IN,Materials,Emerging Markets Small Cap,0.064522
NetDragon Websoft Holdings Limited,777-HK,Communication Services,Emerging Markets Small Cap,0.064472
British American Tobacco Malaysia Bhd.,4162-MY,Consumer Staples,Emerging Markets Small Cap,0.064078
Tong Yang Industry Co. Ltd.,1319-TW,Consumer Discretionary,Emerging Markets Small Cap,0.064032
Santos Brasil Participacoes SA,STBP3-BR,Industrials,Emerging Markets Small Cap,0.064003
TTW Public Company Limited NVDR,TTW.R-TH,Utilities,Emerging Markets Small Cap,0.063943
Finolex Cables Limited,500144-IN,Industrials,Emerging Markets Small Cap,0.063924
Alujain Holding Corp.,2170-SA,Materials,Emerging Markets Small Cap,0.063902
V-Guard Industries Limited,532953-IN,Industrials,Emerging Markets Small Cap,0.063868
CH. Karnchang Public Co. Ltd. NVDR,CK.R-TH,Industrials,Emerging Markets Small Cap,0.063827
Grupo Traxion SAB de CV Class A,TRAXIONA-MX,Industrials,Emerging Markets Small Cap,0.063604
Bangkok Aviation Fuel Services Public Co. Ltd. NVDR,BAFS.R-TH,Industrials,Emerging Markets Small Cap,0.063596
Holy Stone Enterprise Co. Ltd.,3026-TW,Information Technology,Emerging Markets Small Cap,0.063523
Tipco Asphalt Public Co. Ltd. NVDR,TASCO.R-TH,Materials,Emerging Markets Small Cap,0.063492
Fitipower Integrated Technology Inc.,4961-TW,Information Technology,Emerging Markets Small Cap,0.063359
Ciech SA,CIE-PL,Materials,Emerging Markets Small Cap,0.063216
Century Textiles & Industries Ltd.,500040-IN,Materials,Emerging Markets Small Cap,0.063085
Arabian Cement Co.,3010-SA,Materials,Emerging Markets Small Cap,0.062922
Mega First Corp. Bhd.,3069-MY,Utilities,Emerging Markets Small Cap,0.062857
Xiabuxiabu Catering Management (China) Holdings Co. Ltd.,520-HK,Consumer Discretionary,Emerging Markets Small Cap,0.062832
Vardhman Textiles Limited,502986-IN,Consumer Discretionary,Emerging Markets Small Cap,0.062823
Companhia de Saneamento de Minas Gerais,CSMG3-BR,Utilities,Emerging Markets Small Cap,0.062775
Raubex Group Limited,RBX-ZA,Industrials,Emerging Markets Small Cap,0.062661
Ratch Group Public Co. Ltd. NVDR,RATCH.R-TH,Utilities,Emerging Markets Small Cap,0.062651
Baladna Q.P.S.C,BLDN-QA,Consumer Staples,Emerging Markets Small Cap,0.062624
DouYu International Holdings Ltd. Sponsored ADR,DOYU,Communication Services,Emerging Markets Small Cap,0.062593
Maoyan Entertainment,1896-HK,Consumer Discretionary,Emerging Markets Small Cap,0.062412
Padini Holdings Bhd.,7052-MY,Consumer Discretionary,Emerging Markets Small Cap,0.062329
China Shineway Pharmaceutical Group Limited,2877-HK,Health Care,Emerging Markets Small Cap,0.062172
Unipar Carbocloro SA Pfd Class B,UNIP6-BR,Materials,Emerging Markets Small Cap,0.062111
Longwell Company,6290-TW,Industrials,Emerging Markets Small Cap,0.062052
MMC Corp. Bhd.,2194-MY,Industrials,Emerging Markets Small Cap,0.062029
V-Mart Retail Ltd.,534976-IN,Consumer Discretionary,Emerging Markets Small Cap,0.061790
OPTOTECH CORPORATION,2340-TW,Information Technology,Emerging Markets Small Cap,0.061719
Taiyen Biotech Co. Ltd.,1737-TW,Consumer Staples,Emerging Markets Small Cap,0.061717
Taiwan Semiconductor Co. Ltd.,5425-TW,Information Technology,Emerging Markets Small Cap,0.061555
SKP Resources Bhd.,7155-MY,Information Technology,Emerging Markets Small Cap,0.061466
Precious Shipping Public Co. Ltd.(Alien Mkt),PSL.F-TH,Industrials,Emerging Markets Small Cap,0.061300
Wei Chuan Foods Corp.,1201-TW,Consumer Staples,Emerging Markets Small Cap,0.061241
Mechel PAO Sponsored ADR,MTL,Materials,Emerging Markets Small Cap,0.061171
Asia Cement (China) Holdings Corp.,743-HK,Materials,Emerging Markets Small Cap,0.060934
China Nonferrous Mining Corp. Ltd.,1258-HK,Materials,Emerging Markets Small Cap,0.060652
Fawry For Banking Technology And Electronic Payment,FWRY-EG,Information Technology,Emerging Markets Small Cap,0.060633
Dagang NeXchange Berhad,4456-MY,Information Technology,Emerging Markets Small Cap,0.060583
Malaysian Ringgit,CASH_MYR,Unassigned,Emerging Markets Small Cap,0.060517
UTI Asset Management Co. Ltd.,543238-IN,Financials,Emerging Markets Small Cap,0.060464
Iguatemi Empresa de Shopping Centers S.A,IGTA3-BR,Real Estate,Emerging Markets Small Cap,0.060454
PT Timah Tbk,TINS-ID,Materials,Emerging Markets Small Cap,0.060334
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.,SARKY.E-TR,Industrials,Emerging Markets Small Cap,0.060308
Arco Platform Ltd. Class A,ARCE,Consumer Discretionary,Emerging Markets Small Cap,0.060250
Inox Leisure Limited,532706-IN,Communication Services,Emerging Markets Small Cap,0.060219
Clevo Co.,2362-TW,Information Technology,Emerging Markets Small Cap,0.060029
Sun.King Technology Group Limited,580-HK,Industrials,Emerging Markets Small Cap,0.060015
Hindustan Copper Ltd,513599-IN,Materials,Emerging Markets Small Cap,0.059961
St.Shine Optical Co. Ltd.,1565-TW,Health Care,Emerging Markets Small Cap,0.059857
V I P Industries Limited,507880-IN,Consumer Discretionary,Emerging Markets Small Cap,0.059774
Qatari Investors Group,QIGD-QA,Materials,Emerging Markets Small Cap,0.059613
Pegavision Corp.,6491-TW,Health Care,Emerging Markets Small Cap,0.059413
Jiayuan International Group Ltd.,2768-HK,Real Estate,Emerging Markets Small Cap,0.059331
Kangji Medical Holdings Limited,9997-HK,Health Care,Emerging Markets Small Cap,0.059313
Bank Handlowy w Warszawie S.A.,BHW-PL,Financials,Emerging Markets Small Cap,0.059262
PRAJ Industries Limited,522205-IN,Industrials,Emerging Markets Small Cap,0.059176
Amanat Holding PJSC,AMANAT-AE,Financials,Emerging Markets Small Cap,0.058604
Fanhua Inc. Sponsored ADR,FANH,Financials,Emerging Markets Small Cap,0.058529
Zensar Technologies Limited,504067-IN,Information Technology,Emerging Markets Small Cap,0.058404
Joy Spreader Group Inc.,6988-HK,Communication Services,Emerging Markets Small Cap,0.058328
Yanlord Land Group Limited,Z25-SG,Real Estate,Emerging Markets Small Cap,0.058114
Sun Pharma Advanced Research Co. Ltd.,532872-IN,Health Care,Emerging Markets Small Cap,0.057974
Godfrey Phillips India Ltd.,500163-IN,Consumer Staples,Emerging Markets Small Cap,0.057856
Megaworld Corp.,MEG-PH,Real Estate,Emerging Markets Small Cap,0.057800
Derayah REIT Fund,4339-SA,Real Estate,Emerging Markets Small Cap,0.057775
Great Eastern Shipping Co. Ltd.,500620-IN,Energy,Emerging Markets Small Cap,0.057517
Raydium Semiconductor Corp.,3592-TW,Information Technology,Emerging Markets Small Cap,0.057475
City Cement Co.,3003-SA,Materials,Emerging Markets Small Cap,0.057413
Ten Square Games SA,TEN-PL,Communication Services,Emerging Markets Small Cap,0.057410
Bangkok Life Assurance Public Co. Ltd. NVDR,BLA.R-TH,Financials,Emerging Markets Small Cap,0.057365
Test Rite International Co. Ltd.,2908-TW,Consumer Discretionary,Emerging Markets Small Cap,0.057296
Shanghai Industrial Holdings Limited,363-HK,Industrials,Emerging Markets Small Cap,0.057288
Magnum Berhad,3859-MY,Consumer Discretionary,Emerging Markets Small Cap,0.057186
Lumax International Corp. Ltd.,6192-TW,Industrials,Emerging Markets Small Cap,0.057148
Taiwan Dollar,CASH_TWD,Unassigned,Emerging Markets Small Cap,0.057117
Italtile Limited,ITE-ZA,Consumer Discretionary,Emerging Markets Small Cap,0.057073
JAKS Resources Bhd.,4723-MY,Industrials,Emerging Markets Small Cap,0.056961
WABCO India Limited,533023-IN,Consumer Discretionary,Emerging Markets Small Cap,0.056945
Gulf Cable & Electrical Industries Co. KSC,CABLE-KW,Industrials,Emerging Markets Small Cap,0.056894
Narayana Hrudayalaya Ltd.,539551-IN,Health Care,Emerging Markets Small Cap,0.056871
Birla Corporation Limited,500335-IN,Materials,Emerging Markets Small Cap,0.056827
Admie Holdings SA,ADMIE-GR,Utilities,Emerging Markets Small Cap,0.056723
China High Speed Transmission Equipment Group Co. Ltd.,658-HK,Industrials,Emerging Markets Small Cap,0.056695
IIFL Finance Limited,532636-IN,Financials,Emerging Markets Small Cap,0.056642
AP (Thailand) Public Co. Ltd. NVDR,AP.R-TH,Real Estate,Emerging Markets Small Cap,0.056562
Ulker Biskuvi Sanayi A.S.,ULKER.E-TR,Consumer Staples,Emerging Markets Small Cap,0.056475
Continental Holdings Corp.,3703-TW,Industrials,Emerging Markets Small Cap,0.056373
Graphite India Limited,509488-IN,Industrials,Emerging Markets Small Cap,0.056249
Siamgas & Petrochemicals Public Co. Ltd. NVDR,SGP.R-TH,Energy,Emerging Markets Small Cap,0.056240
Origin Property Public Company Ltd NVDR,ORI.R-TH,Real Estate,Emerging Markets Small Cap,0.056071
Kee Tai Properties Co. Ltd.,2538-TW,Real Estate,Emerging Markets Small Cap,0.055919
Infibeam Avenues Ltd.,539807-IN,Information Technology,Emerging Markets Small Cap,0.055676
Cmc Magnetics Corporation,2323-TW,Information Technology,Emerging Markets Small Cap,0.055633
11 Bit Studios SA,11B-PL,Communication Services,Emerging Markets Small Cap,0.055631
Gujarat State Fertilizers & Chemicals Limited,500690-IN,Materials,Emerging Markets Small Cap,0.055530
JW (Cayman) Therapeutics Co. Ltd.,2126-HK,Health Care,Emerging Markets Small Cap,0.055495
Aster DM Healthcare Ltd.,540975-IN,Health Care,Emerging Markets Small Cap,0.055365
Movida Participacoes SA,MOVI3-BR,Industrials,Emerging Markets Small Cap,0.055228
Mastek Limited,523704-IN,Information Technology,Emerging Markets Small Cap,0.055094
Vivara Participacoes SA,VIVA3-BR,Consumer Discretionary,Emerging Markets Small Cap,0.055080
Transcend Information Inc.,2451-TW,Information Technology,Emerging Markets Small Cap,0.055057
PNC Infratech Ltd,539150-IN,Industrials,Emerging Markets Small Cap,0.054977
Fulgent Sun International (Holding) Co. Ltd.,9802-TW,Consumer Discretionary,Emerging Markets Small Cap,0.054929
KNR Constructions Limited,532942-IN,Industrials,Emerging Markets Small Cap,0.054794
Saudi Ceramic Co.,2040-SA,Industrials,Emerging Markets Small Cap,0.054765
Jazeera Airways Co. (KSC),JAZEERA-KW,Industrials,Emerging Markets Small Cap,0.054530
PT Link Net Tbk,LINK-ID,Communication Services,Emerging Markets Small Cap,0.054477
Tata Investment Corporation Limited,501301-IN,Financials,Emerging Markets Small Cap,0.054436
Arriyadh Development Co.,4150-SA,Real Estate,Emerging Markets Small Cap,0.054388
EEKA Fashion Holdings Limited,3709-HK,Consumer Discretionary,Emerging Markets Small Cap,0.054228
TCI Co. Ltd.,8436-TW,Consumer Staples,Emerging Markets Small Cap,0.054097
Pavilion Real Estate Investment Trust,5212-MY,Real Estate,Emerging Markets Small Cap,0.054069
Turkiye Vakiflar Bankasi Turk Anonim Ortakligi,VAKBN.E-TR,Financials,Emerging Markets Small Cap,0.053667
MLP Saglik Hizmetleri AS Class B,MPARK.E-TR,Health Care,Emerging Markets Small Cap,0.053636
STARK Corporation Public Co. Ltd. NVDR,STARK.R-TH,Industrials,Emerging Markets Small Cap,0.053565
SuperAlloy Industrial Co. Ltd.,1563-TW,Consumer Discretionary,Emerging Markets Small Cap,0.053551
AEON Thana Sinsap (Thailand) Public Co. Ltd. NVDR,AEONTS.R-TH,Financials,Emerging Markets Small Cap,0.053506
Beijing North Star Company Limited Class A,BP3RCY,Real Estate,Emerging Markets Small Cap,0.053445
Century Plyboards (India) Ltd.,532548-IN,Materials,Emerging Markets Small Cap,0.053441
Cielo,CIEL3-BR,Information Technology,Emerging Markets Small Cap,0.053383
Volcan Compania Minera S.A.A. Class B,VOLCABC1-PE,Materials,Emerging Markets Small Cap,0.053366
Century Pacific Food Inc.,CNPF-PH,Consumer Staples,Emerging Markets Small Cap,0.053166
Al Rajhi Co. for Cooperative Insurance,8230-SA,Financials,Emerging Markets Small Cap,0.053146
K.P.R. Mill Limited,532889-IN,Consumer Discretionary,Emerging Markets Small Cap,0.052905
Evergreen International Storage & Transport Corp.,2607-TW,Industrials,Emerging Markets Small Cap,0.052782
Reliance Power Limited,532939-IN,Utilities,Emerging Markets Small Cap,0.052678
Sunplus Technology Co. Ltd.,2401-TW,Information Technology,Emerging Markets Small Cap,0.052590
China SCE Group Holdings Limited,1966-HK,Real Estate,Emerging Markets Small Cap,0.052552
EcoRodovias Infraestrutura e Logistica S.A.,ECOR3-BR,Industrials,Emerging Markets Small Cap,0.052505
KAP Industrial Holdings Limited,KAP-ZA,Industrials,Emerging Markets Small Cap,0.052494
Terna Energy S.A.,TENERGY-GR,Utilities,Emerging Markets Small Cap,0.052432
Mobvista Inc.,1860-HK,Communication Services,Emerging Markets Small Cap,0.052385
Jinchuan Group International Resources Co. Ltd,2362-HK,Materials,Emerging Markets Small Cap,0.052357
Meezan Bank Limited.,MEBL-PK,Financials,Emerging Markets Small Cap,0.052340
Ton Yi Industrial Corp.,9907-TW,Materials,Emerging Markets Small Cap,0.052273
JK Lakshmi Cement Limited,500380-IN,Materials,Emerging Markets Small Cap,0.052260
Saudi Advanced Industries Co.,2120-SA,Financials,Emerging Markets Small Cap,0.052253
Qingling Motors Co. Ltd. Class H,1122-HK,Consumer Discretionary,Emerging Markets Small Cap,0.052184
National Medical Care Co.,4005-SA,Health Care,Emerging Markets Small Cap,0.052159
Shihlin Paper Corporation,1903-TW,Materials,Emerging Markets Small Cap,0.052137
Chung-Hsin Electric & Machinery Manufacturing Corp.,1513-TW,Industrials,Emerging Markets Small Cap,0.052095
Luokung Technology Corp.,LKCO,Communication Services,Emerging Markets Small Cap,0.051998
Etron Technology Inc.,5351-TW,Information Technology,Emerging Markets Small Cap,0.051774
Global PMX Co. Ltd.,4551-TW,Consumer Discretionary,Emerging Markets Small Cap,0.051639
Century Iron & Steel Industrial Co. Ltd.,9958-TW,Materials,Emerging Markets Small Cap,0.051521
Safe Bulkers Inc.,SB,Industrials,Emerging Markets Small Cap,0.051335
Kalpataru Power Transmission Limited,522287-IN,Industrials,Emerging Markets Small Cap,0.051313
Holtek Semiconductor Inc.,6202-TW,Information Technology,Emerging Markets Small Cap,0.051289
Adimmune Corporation,4142-TW,Health Care,Emerging Markets Small Cap,0.051270
Topkey Corporation,4536-TW,Consumer Discretionary,Emerging Markets Small Cap,0.051242
Sichuan Expressway Co. Ltd. Class A,BP3RFF,Industrials,Emerging Markets Small Cap,0.051231
Tung Thih Electronic Co. Ltd.,3552-TW,Consumer Discretionary,Emerging Markets Small Cap,0.051187
GMM Pfaudler Limited,505255-IN,Industrials,Emerging Markets Small Cap,0.051138
Diana Shipping Inc.,DSX,Industrials,Emerging Markets Small Cap,0.051135
China Oriental Group Co. Ltd.,581-HK,Materials,Emerging Markets Small Cap,0.050929
Redsun Properties Group Ltd.,1996-HK,Real Estate,Emerging Markets Small Cap,0.050868
Turk Traktor ve Ziraat Makineleri A.S.,TTRAK.E-TR,Industrials,Emerging Markets Small Cap,0.050819
Dynagreen Environmental Protection Group Co. Ltd. Class H,1330-HK,Industrials,Emerging Markets Small Cap,0.050806
Universal Vision Biotechnology Co. Ltd.,3218-TW,Health Care,Emerging Markets Small Cap,0.050777
Gudeng Precision Industrial Co. Ltd.,3680-TW,Information Technology,Emerging Markets Small Cap,0.050748
Ganglong China Property Group Limited,6968-HK,Real Estate,Emerging Markets Small Cap,0.050729
Bangkok Airways Public Co. Ltd. NVDR,BA.R-TH,Industrials,Emerging Markets Small Cap,0.050606
Soft-World International Corp.,5478-TW,Communication Services,Emerging Markets Small Cap,0.050508
TQM Corporation Public Company Limited NVDR,TQM.R-TH,Financials,Emerging Markets Small Cap,0.050448
Mi Technovation Bhd.,5286-MY,Information Technology,Emerging Markets Small Cap,0.050384
OneConnect Financial Technology Co Ltd Sponsored ADR,OCFT,Information Technology,Emerging Markets Small Cap,0.050302
Brighton-Best International (Taiwan) Inc.,8415-TW,Industrials,Emerging Markets Small Cap,0.050247
Costamare Inc.,CMRE,Industrials,Emerging Markets Small Cap,0.050206
Ghcl Limited,500171-IN,Materials,Emerging Markets Small Cap,0.050143
Bloomberry Resorts Corporation,BLOOM-PH,Consumer Discretionary,Emerging Markets Small Cap,0.050110
Sobha Limited,532784-IN,Real Estate,Emerging Markets Small Cap,0.049986
Dufu Technology Corp. Bhd.,7233-MY,Industrials,Emerging Markets Small Cap,0.049935
3R Petroleum Oleo e Gas SA,RRRP3-BR,Energy,Emerging Markets Small Cap,0.049880
Taiwan Tea Corporation,2913-TW,Consumer Staples,Emerging Markets Small Cap,0.049783
Manazel PJSC,MANAZEL-AE,Real Estate,Emerging Markets Small Cap,0.049711
Actron Technology Corporation,8255-TW,Consumer Discretionary,Emerging Markets Small Cap,0.049621
Haichang Ocean Park Holdings Ltd.,2255-HK,Consumer Discretionary,Emerging Markets Small Cap,0.049509
PT Astra Agro Lestari Tbk,AALI-ID,Consumer Staples,Emerging Markets Small Cap,0.049485
PT Bintang Oto Global Tbk,BOGA-ID,Consumer Discretionary,Emerging Markets Small Cap,0.049465
Poonawalla Fincorp Limited,524000-IN,Financials,Emerging Markets Small Cap,0.049424
Aegis Logistics Limited,500003-IN,Energy,Emerging Markets Small Cap,0.049410
PT Bank Pembangunan Daerah Jawa Timur Tbk Class B,BJTM-ID,Financials,Emerging Markets Small Cap,0.049409
Saudi Chemical Co.,2230-SA,Health Care,Emerging Markets Small Cap,0.049326
Bit Digital Inc.,BTBT,Information Technology,Emerging Markets Small Cap,0.049317
Emlak Konut Gayrimenkul Yatirim Ortakligi A.g.,EKGYO.E-TR,Real Estate,Emerging Markets Small Cap,0.049252
Siam City Cement Public Co. Ltd. NVDR,SCCC.R-TH,Materials,Emerging Markets Small Cap,0.049216
Vinci Partners Investments Ltd. Class A,VINP,Financials,Emerging Markets Small Cap,0.049201
Fawaz Abdulaziz AlHokair Co.,4240-SA,Consumer Discretionary,Emerging Markets Small Cap,0.048775
Metair Investments Limited,MTA-ZA,Consumer Discretionary,Emerging Markets Small Cap,0.048690
Thailand Baht,CASH_THB,Unassigned,Emerging Markets Small Cap,0.048686
Balaji Amines Limited,530999-IN,Materials,Emerging Markets Small Cap,0.048669
Riyadh Cement Co.,9512-SA,Materials,Emerging Markets Small Cap,0.048663
Saudi Public Transport Co.,4040-SA,Industrials,Emerging Markets Small Cap,0.048613
Ta Ya Electric Wire & Cable Co. Ltd.,1609-TW,Industrials,Emerging Markets Small Cap,0.048594
Greentown Management Holdings Co. Ltd.,9979-HK,Industrials,Emerging Markets Small Cap,0.048479
Phytohealth Corporation,4108-TW,Health Care,Emerging Markets Small Cap,0.048447
Fosun Tourism Group,1992-HK,Consumer Discretionary,Emerging Markets Small Cap,0.048392
Kerry TJ Logistics Co. Ltd.,2608-TW,Industrials,Emerging Markets Small Cap,0.048340
Orient Semiconductor Electronics Limited,2329-TW,Information Technology,Emerging Markets Small Cap,0.048322
Sheng Ye Capital Limited,6069-HK,Financials,Emerging Markets Small Cap,0.048267
VIA Labs. Inc.,6756-TW,Information Technology,Emerging Markets Small Cap,0.048048
KMC (Kuei Meng) International Inc.,5306-TW,Consumer Discretionary,Emerging Markets Small Cap,0.047958
Qatar First Bank,QFBQ-QA,Financials,Emerging Markets Small Cap,0.047928
Chunghwa Precision Test Tech Co. Ltd.,6510-TW,Information Technology,Emerging Markets Small Cap,0.047917
Route Mobile Ltd.,543228-IN,Information Technology,Emerging Markets Small Cap,0.047863
Edvantage Group Holdings Limited,382-HK,Consumer Discretionary,Emerging Markets Small Cap,0.047851
HTC Corporation,2498-TW,Information Technology,Emerging Markets Small Cap,0.047752
Skyfame Realty (Holdings) Ltd,59-HK,Real Estate,Emerging Markets Small Cap,0.047660
ReneSola Ltd. Sponsored ADR,SOL,Industrials,Emerging Markets Small Cap,0.047573
National Co. for Learning & Education,4291-SA,Consumer Discretionary,Emerging Markets Small Cap,0.047498
National Co. for Glass Industries,2150-SA,Materials,Emerging Markets Small Cap,0.047455
HannStar Board Corp.,5469-TW,Information Technology,Emerging Markets Small Cap,0.047342
FIBRA Macquarie Mexico,FIBRAMQ12-MX,Real Estate,Emerging Markets Small Cap,0.047257
Thonburi Healthcare Group Public Company Limited NVDR,THG.R-TH,Health Care,Emerging Markets Small Cap,0.047208
